MSSV,MH1,MH2,MH3,MH4,MH5,MH6,MH7,MH8,MH9,MH10,MH11,MH12,MH13,MH14,MH15,MH16,MH17,MH18,DTB
18110016,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,9.58
18110017,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,9.62
18110018,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,8.98
18110019,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.34
18110020,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,8.59
18110021,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,5.76
18110022,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,6.68
18110023,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,9.02
18110024,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,6.35
18110025,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,7.49
18110026,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.3
18110027,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,8.57
18110028,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.72
18110029,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,9.78
18110030,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,6.68
18110031,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,9.5
18110032,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,7.89
18110033,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,6.46
18110034,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,9.93
18110035,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.71
18110036,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,8.23
18110037,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,9.14
18110038,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,8.14
18110039,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,5.59
18110040,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,6.57
18110041,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,9.15
18110042,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,8.66
18110043,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,5.12
18110044,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,6.85
18110045,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,6.68
18110046,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,5.4
18110047,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,7.55
18110048,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,6.22
18110049,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.76
18110050,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,7.95
18110051,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,9.53
18110052,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.31
18110053,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,8.97
18110054,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,5.39
18110055,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,6.85
18110056,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,6.19
18110057,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,7.39
18110058,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,6.75
18110059,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,8.53
18110060,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.54
18110061,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,7.16
18110062,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,9.25
18110063,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,9.23
18110064,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,7.24
18110065,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,9.85
18110066,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.76
18110067,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.15
18110068,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.13
18110069,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,5.52
18110070,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,9.72
18110071,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.39
18110072,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.98
18110073,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,6.55
18110074,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.41
18110075,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,6.3
18110076,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,9.73
18110077,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.05
18110078,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,5.5
18110079,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,5.25
18110080,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,5.37
18110081,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,5.84
18110082,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,6.19
18110083,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,7.58
18110084,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,6.97
18110085,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.35
18110086,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,5.46
18110087,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,5.84
18110088,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,6.61
18110089,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,5.52
18110090,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,9.12
18110091,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,8.91
18110092,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,5.04
18110093,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.94
18110094,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.99
18110095,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.43
18110096,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,6.3
18110097,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,8
18110098,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.21
18110099,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,7.73
18110100,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,9.59
18110101,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.63
18110102,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,5.44
18110103,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,8.9
